id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms,id_original,nombre_referencia,cluster
en:e513,E513,sulphuric acid,1118.0,SULFURIC ACID|Sulphuric acid|7664-93-9|Dihydrogen sulfate|Dipping acid,177,sulphuric acid,0
en:e349,E349,ammonium malate,,,178,ammonium malate,0
en:e413,E413,tragacanth,,,179,tragacanth,0
en:e1204,E1204,pullulan,16217201.0,2-Ethoxy-4-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:471607|835-270-6|2-Ethoxy-4-fluorophenylboronic acid|480438-58-2,180,pullulan,2
en:e622,E622,monopotassium glutamate,56844440.0,6382-01-0|GLUTAMATE POTASSIUM|Potassium glutamate hydrate|POTASSIUM GLUTAMATE [WHO-DD]|AKOS015892822,181,monopotassium glutamate,2
en:e939,E939,helium,23987.0,HELIUM|Atomic helium|Helium-4|7440-59-7|p-Helium,182,helium,2
en:e311,E311,octyl gallate,61253.0,"Octyl gallate|1034-01-1|Octyl 3,4,5-trihydroxybenzoate|n-Octyl gallate|Progallin O",183,octyl gallate,0
en:e489,E489,methyl glucoside-coconut oil ester,,,184,methyl glucoside-coconut oil ester,0
en:e251,E251,sodium nitrate,,,185,sodium nitrate,3
en:e341ii,E341II,dicalcium phosphate,,,186,dicalcium phosphate,0
en:e1206,E1206,neutral methacrylate copolymer,,,187,neutral methacrylate copolymer,2
en:e905d,E905D,mineral oil high viscosity,,,188,mineral oil high viscosity,2
en:e650,E650,zinc acetate,11192.0,ZINC ACETATE|557-34-6|Zinc diacetate|Zinc(II) acetate|Dicarbomethoxyzinc,189,zinc acetate,0
en:e535,E535,sodium ferrocyanide,,,190,sodium ferrocyanide,0
en:e901,E901,white and yellow beeswax,,,191,white and yellow beeswax,0
en:e473a,E473A,oligoesters of sucrose type i,,,192,oligoesters of sucrose type i,0
en:e265,E265,dehydroacetic acid,5523.0,2914-77-4|2-[(Dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexanol|CHEBI:75722|2-((Dimethylamino)methyl)-1-(3-methoxyphenyl)cyclohexanol|RefChem:1060573,193,dehydroacetic acid,0
en:e435,E435,polyoxyethylene sorbitan monostearate,22833389.0,"(2R)-2-[(2R,3R,4S)-3,4-bis(2-hydroxyethoxy)oxolan-2-yl]-2-hydroxyethyl dodecanoate|Polysorbata 60|(2R)-2-((2R,3R,4S)-3,4-bis(2-hydroxyethoxy)oxolan-2-yl)-2-hydroxyethyl dodecanoate|RefChem:1096504|DTXSID9029300",194,polyoxyethylene sorbitan monostearate,0
en:e141ii,E141II,copper complexes of chlorophyllins,,,195,copper complexes of chlorophyllins,3
en:e923,E923,ammonium persulfate,,,196,ammonium persulfate,2
en:e322ii,E322II,partially hydrolyzed lecithin,,,197,partially hydrolyzed lecithin,0
en:e340i,E340I,monopotassium phosphate,,,198,monopotassium phosphate,0
en:e956,E956,alitame,,,199,alitame,2
en:e468,E468,cross-linked sodium carboxymethylcellulose,,,200,cross-linked sodium carboxymethylcellulose,0
en:e238,E238,calcium formiate,10997.0,"CALCIUM FORMATE|544-17-2|Calcium diformate|Calcoform|Formic acid, calcium salt",201,calcium formiate,0
en:e484,E484,stearyl citrate,,,202,stearyl citrate,2
en:e1410,E1410,monostarch phosphate,4153905.0,2-Ethynylaniline|52670-38-9|DTXSID30399999|RefChem:87028|DTXCID00350855,203,monostarch phosphate,2
en:e307c,E307C,dl-alpha-tocopherol,,,204,dl-alpha-tocopherol,0
en:e140i,E140I,chlorophylls,,,205,chlorophylls,3
en:e960c,E960C,enzymatically produced steviol glycosides,92023628.0,REBAUDIOSIDE M|1220616-44-3|rebaudioside X|Fema No. 4895|Fema No. 4922,206,enzymatically produced steviol glycosides,2
en:e262,E262,sodium acetates,517045.0,"Sodium acetate|127-09-3|Acetic acid, sodium salt|Sodium acetate anhydrous|Sodium acetate, anhydrous",207,sodium acetates,0
