id,codigo_e,nombre
en:e328,E328,E328 - ammonium lactate
en:e510,E510,E510 - Ammonium chloride
en:e410,E410,E410 - Locust bean gum
en:e161h,E161H,E161h - Zeaxanthin
en:e452iv,E452IV,E452iv - Calcium polyphosphate
en:e429,E429,E429 - peptone
en:e529,E529,E529 - Calcium oxide
en:e415,E415,E415 - Xanthan gum
en:e309,E309,E309 - Delta-tocopherol
en:e515,E515,E515 - Potassium sulphates
en:e339ii,E339II,E339ii - Disodium phosphate
en:e905c,E905C,E905c - Petroleum wax
en:e104,E104,E104 - Quinoline yellow
en:e960d,E960D,E960d - Glucosylated steviol glycosides
en:e950,E950,E950 - Acesulfame k
en:e623,E623,E623 - Calcium diglutamate
en:e1103,E1103,E1103 - Invertase
en:e218,E218,E218 - Methyl p-hydroxybenzoate
en:e452i,E452I,E452i - Sodium polyphosphate
en:e424,E424,E424 - Curdlan
en:e1201,E1201,E1201 - Polyvinylpyrrolidone
en:e524,E524,E524 - Sodium hydroxide
en:e200,E200,E200 - Sorbic acid
en:e304,E304,E304 - Fatty acid esters of ascorbic acid
en:e924b,E924B,E924b - Calcium bromate
en:e412,E412,E412 - Guar gum
en:e460ii,E460II,E460ii - Powdered cellulose
en:e512,E512,E512 - Stannous chloride
en:e504i,E504I,E504i - Magnesium carbonate
en:e270,E270,E270 - Lactic acid
en:e928,E928,E928 - Benzole peroxide
en:e152,E152,E152 - Black 7984
en:e446,E446,E446 - Succistearin
en:e546,E546,E546 - Magnesium pyrophosphate
en:e174,E174,E174 - Silver
en:e150a,E150A,E150a - Plain caramel
en:e352,E352,E352 - Calcium malates
en:e155,E155,E155 - Brown ht
en:e161,E161,E161 - Xanthophylls
en:e355,E355,E355 - Adipic acid
en:e553ai,E553AI,E553ai - Synthetic magnesium silicate
en:e463,E463,E463 - Hydroxypropyl cellulose
en:e233,E233,E233 - Thiabendazole
en:e336i,E336I,E336i - Monopotassium tartrate
en:e904,E904,E904 - Shellac
en:e150,E150,E150 - Caramel
en:e160d,E160D,E160d - Lycopene
en:e160ai,E160AI,E160ai - Beta-carotene
en:e267,E267,E267 - Buffered vinegar
en:e478,E478,E478 - Lactylated fatty acid esters of glycerol and propane-1
en:e537,E537,E537 - ferrous hexacyanomanganate
en:e578,E578,E578 - calcium gluconate
en:e350,E350,E350 - Sodium malates
en:e383,E383,E383 - calcium glycerophosphate
en:e640i,E640I,E640i - Glycine
en:e161a,E161A,E161a - Flavoxanthin
en:e909,E909,E909 - Spermaceti
en:e481,E481,E481 - Sodium stearoyl-2-lactylate
en:e1440,E1440,E1440 - Hydroxypropyl starch
en:e543,E543,E543 - E543 food additive
en:e405,E405,E405 - Propane-1‚2-diol alginate
en:e931,E931,E931 - Nitrogen
en:e505,E505,E505 - Ferrous carbonate
en:e319,E319,E319 - Tertiary-butylhydroquinone (tbhq)
en:e443,E443,E443 - Brominated vegetable oil
en:e125,E125,E125 - Scarlet GN
en:e1412,E1412,E1412 - Distarch phosphate
en:e141,E141,E141 - Copper complexes of chlorophylls and chlorophyllins
en:e331iii,E331III,E331iii - Trisodium citrate
en:e627,E627,E627 - Disodium guanylate
en:e943b,E943B,E943b - Isobutane
en:e325,E325,E325 - sodium lactate
en:e905b,E905B,E905b - petroleum jelly
en:e341,E341,E341 - Calcium phosphates
en:e262ii,E262II,E262ii - Sodium diacetate
en:e160aiii,E160AIII,E160aiii - Beta-carotene from blakeslea trispora
en:e122,E122,E122 - Azorubine
en:e210,E210,E210 - Benzoic acid
en:exxx,EXXX,Exxx - Exxx food additive
en:e314,E314,E314 - Guaiacum
en:e466,E466,E466 - Sodium carboxy methyl cellulose
en:e958,E958,E958 - Glycyrrhizin
en:e402,E402,E402 - Potassium alginate
en:e236,E236,E236 - Formic acid
en:e502,E502,E502 - Carbonates
en:e1518,E1518,E1518 - Glyceryl triacetate
en:e322,E322,E322 - Lecithins
en:e172i,E172I,E172i - Black iron oxide
en:e160e,E160E,E160e - Beta-apo-8′-carotenal (c30)
en:e163c,E163C,E163c - Malvidin
en:e472f,E472F,E472f - Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids
en:e215,E215,E215 - Sodium ethyl p-hydroxybenzoate
en:e333i,E333I,E333i - Monocalcium citrate
en:e1202,E1202,E1202 - Polyvinylpolypyrrolidone
en:e120,E120,E120 - Cochineal
en:e212,E212,E212 - Potassium benzoate
en:e322a,E322A,E322a - Oat lecithin
en:e500,E500,E500 - Sodium carbonates
en:e491,E491,E491 - Sorbitan monostearate
en:e400,E400,E400 - Alginic acid
en:e518,E518,E518 - Magnesium sulphate
en:e320,E320,E320 - Butylated hydroxyanisole (bha)
en:e900b,E900B,E900b - Methylphenylpolysiloxane
en:e224,E224,E224 - Potassium metabisulphite
en:e418,E418,E418 - Gellan gum
en:e170i,E170I,E170i - Calcium carbonate
xx:e387,E387,Desconocido
en:e555,E555,E555 - Potassium aluminium silicate
en:e630,E630,E630 - Inosinic acid
en:e363,E363,E363 - Succinic acid
en:e579,E579,E579 - iron gluconate
en:e515i,E515I,E515i - Potassium sulphate
en:e231,E231,E231 - Orthophenyl phenol
en:e461,E461,E461 - methyl cellulose
en:e965ii,E965II,E965ii - Maltitol syrup
en:e163,E163,E163 - Anthocyanins
en:e452,E452,E452 - Polyphosphates
en:e908,E908,E908 - Rice bran wax
en:e552,E552,E552 - Calcium silicate
en:e161g,E161G,E161g - Canthaxanthin
en:e910,E910,E910 - Wax ester
en:e474,E474,E474 - Sucroglycerides
en:e574,E574,E574 - Gluconic acid
en:e1503,E1503,E1503 - Castor oil
en:e304i,E304I,E304i - Ascorbyl palmitate
en:e924a,E924A,E924a - Potassium bromate
en:e440aiii,E440AIII,E440aiii - Potassium pectate
en:e632,E632,E632 - Dipotassium inosinate
en:e929,E929,E929 - acetone peroxide
en:e163a,E163A,E163a - Cyanidin
en:e381,E381,E381 - ferric ammonium citrate
en:e496,E496,E496 - Sorbitan trioleate
en:e483,E483,E483 - Stearyl tartrate
en:e915,E915,E915 - Esters of Colophane
en:e181,E181,E181 - Tannin
en:e337,E337,E337 - Potassium sodium tartrate
